College Name,Month/Year Collected,Annual Green Power Usage (kWh),GP% Total Energy Use,Green Power Resources,College State,Rank,Lat,Long
Southern Illinois University Edwardsville,18-Oct,57881742,100,Wind,IL,22,38.7933,-89.9961
University of Minnesota,18-Oct,57800000,16,"Solar, Wind",MN,23,44.97587,-93.23449
University of Vermont,18-Oct,57716250,96,"Biogas, Solar, Wind",VT,24,44.469288,-73.20026
American University,18-Oct,56554441,103,Various,DC,25,38.93695,-77.08947
Temple University,18-Oct,55102500,25,Wind,PA,26,39.980225,-75.15758
University of New Hampshire,18-Oct,46469000,65,Wind,NH,27,43.13861,-70.937706
Syracuse University,18-Oct,40250000,35,Wind,NY,28,43.03762,-76.13297
The Catholic University of America,18-Oct,37881775,100,Wind,DC,29,38.93698,-76.998055
University of Illinois at Urbana-Champaign,18-Oct,30533994,7,"Solar, Wind",IL,30,40.110558,-88.228333
"University of Tennessee, Knoxville",18-Jul,"250,070,000",94,"Solar, Wind",TN,1,35.950867,-83.930984
"University at Buffalo, the State university of New York",18-Jul,"219,284,258",100,"Biomass, Solar",NY,2,43.0004,-78.7879
University of Pennsylvania,18-Jul,"200,000,000",60,Wind,PA,3,39.952892,-75.19277
University of California,18-Jul,"182,762,683",15,"Biogas, Solar, Wind",CA,4,37.871853,-122.258423
Georgetown University,18-Jul,"159,499,000",133,Wind,DC,5,38.90832,-77.0713
Stanford University,18-Jul,"157,734,220",65,Solar,CA,6,37.428993,-122.16986
Carnegie-Mellon University,18-Jul,"126,281,076",100,"Solar, Wind",PA,7,40.444603,-79.941986
University of Oklahoma,18-Jul,"124,573,400",67,Wind,OK,8,35.205894,-97.445717
University of North Texas,18-Jul,"107,250,000",100,"Solar, Wind",TX,9,33.210663,-97.14733
The Ohio State University,18-Jul,"105,651,613",18,Wind,OH,10, 39.999387,-83.02271
Northwestern University,18-Jul,"100,370,800",39,"Solar, Wind",IL,11,42.05499,-87.6772
University of Missouri,18-Jul,"97,892,973",37,"Biomass, Solar, Wind",MO,12,38.951561,-92.328636
Oklahoma State University,18-Jul,"97,484,877",72,Wind,OK,13,36.121414,-97.06839
University of Maryland,18-Jul,"96,927,825",34,"Biogas, Small Hydro, Solar, Wind",MD,14,38.980297,-76.93312
Drexel University,18-Jul,"87,766,000",104,"Solar, Wind",PA,15,39.95411,-75.186905
George Washington University,18-Jul,"79,501,035",65,Solar,DC,16,38.89845,-77.04943
University of South Florida,18-Jul,"78,654,500",40,Wind,FL,17,28.05457,-82.412094
Arizona State University,18-Jul,"73,900,000",22,"Biogas, Biomass, Solar",AZ,18,33.424564,-111.928001
University of Wisconsin,18-Jul,"72,168,457",16,"Biogas, Solar, Wind",WI,19,43.074787,-89.403564
University of New Hampshire,18-Jul,"70,739,000",100,Wind,NH,20,43.13861,-70.937706
Tarrant County College District,18-Jul,"66,255,000",70,"Biogas, Biomass, Small Hydro, Solar, Wind",TX,21,32.747883,-97.32769
The City University of New York,18-Jul,"64,000,000",14,Wind,NY,22,40.73,-73.997
Ohio University,18-Jul,"60,622,672",50,"Solar, Wind",OH,23,39.32434355, -82.1014252739
University of Vermont,18-Jul,"59,533,000",99,Wind,VT,24,44.469288,-73.20026
University of Minnesota,18-Jul,"57,800,000",16,"Solar, Wind",MN,25,44.97587,-93.23449
American University,18-Jul,"56,554,441",103,Solar,DC,26,38.93695,-77.08947
Temple University,18-Jul,"55,102,500",25,Wind,PA,27,39.980225,-75.15758
Syracuse University,18-Jul,"41,000,000",35,Wind,NY,28,43.03762,-76.13297
Western Washington University,18-Jul,"40,000,000",110,Wind,WA,29,48.73815,-122.48582
The Catholic University of America,18-Jul,"39,090,882",100,Wind,DC,30,38.93698,-76.998055
"University of Tennessee, Knoxville",18-Apr,250070000,94,"Solar, Wind",TN,1,35.950867,-83.930984
SUNY University at Buffalo,18-Apr,219284258,100,"Biomass,Solar",NY,2,42.933832,-78.882125
University of Pennsylvania,18-Apr,200000000,60,Wind,PA,3,39.952892,-75.19277
University of California,18-Apr,182762683,15,"Biogas,Solar,Wind",CA,4,37.871853,-122.258423
Georgetown University,18-Apr,159499000,133,Wind,DC,5,38.90832,-77.0713
Stanford University,18-Apr,157734220,56,Solar ,CA,6,37.428993,-122.16986
Carnegie-Mellon University,18-Apr,126281076,100,"Solar,Wind",NY,7,40.444603,-79.941986
University of Oklahoma,18-Apr,124573400,67,Wind,OK,8,35.205894,-97.445717
University of North Texas,18-Apr,107250000,100,"Solar, Wind",TX,9,33.210663,-97.14733
The Ohio State University,18-Apr,105651613,18,Wind,OH,10, 39.999387,-83.02271
Northwestern University,18-Apr,100370800,39,"Solar,",IL,11,42.05499,-87.6772
University of Missouri,18-Apr,97892973,37,"Biomass,Solar,Wind",MO,12,38.951561,-92.328636
Oklahoma State University,18-Apr,97484877,72,Wind,OK,13,36.121414,-97.06839
University of Maryland,18-Apr,96927825,34,"Biogas,Small Hydro,Solar,Wind",MD,14,38.980297,-76.93312
Drexel University,18-Apr,87766000,104,"Solar,Wind",PA,15,39.95411,-75.186905
George Washington University,18-Apr,79501035,65,Solar,DC,16,38.89845,-77.04943
University of South Florida,18-Apr,78654500,40,Wind,FL,17,28.05457,-82.412094
Arizona State University,18-Apr,73900000,22,"Biogas,Bimoass, Solar",AZ,18,33.424564,-111.928001
University of Wisconsin,18-Apr,72168457,16,"Biogas,Solar,Wind",WI,19,43.074787,-89.403564
University of New Hampshire,18-Apr,70739000,100,Wind,NH,20,43.13861,-70.937706
Tarrant County College District,18-Apr,66255000,70,"Biogas,Biomass,Small Hydro, Solar, Wind",TX,21,32.747883,-97.32769
The City University of New York,18-Apr,64000000,14,Wind,NY,22,40.73,-73.997
Ohio University,18-Apr,60622672,50,"Solar, Wind",OH,23,39.32434355, -82.1014252739
University of Vermont,18-Apr,59533000,99,Wind,VT,24,44.469288,-73.20026
University of Minnesota,18-Apr,57800000,16,"Solar, Wind",MN,25,44.97587,-93.23449
American University,18-Apr,56554441,103,Solar,DC,26,38.93695,-77.08947
Temple University,18-Apr,55102500,25,Wind,PA,27,39.980225,-75.15758
Syracuse University,18-Apr,41000000,35,Wind,NY,28,43.03762,-76.13297
Western Washington University,18-Apr,40000000,119,Wind,WA,29,48.73815,-122.48582
The Catholic University of America,18-Apr,39090882,100,Wind,DC,30,38.93698,-76.998055
"University of Tennessee, Knoxville",18-Jan,250070000,94,"Solar,Wind",TN,1,35.950867,-83.930984
SUNY University at Buffalo,18-Jan,211977208,97,"Solar,Wind",NY,2,42.933832,-78.882125
University of Pennsylvania,18-Jan,200000000,52,Wind,PA,3,39.952892,-75.19277
Georgetown University,18-Jan,159640000,129,Wind,DC,4,38.90832,-77.0713
Stanford University,18-Jan,154190253,53,Solar,CA,5,37.428993,-122.16986
University of Oklahoma,18-Jan,128895000,69,Wind,OK,6,35.205894,-97.445717
Carnegie-Mellon University,18-Jan,128593388,100,"Solar,Wind",NY,7,40.444603,-79.941986
University of California,18-Jan,128084650,11,"Biomass, Biogas, Solar, Wind",CA,8,37.871853,-122.258423
Northwestern University,18-Jan,122014800,50,"Solar,Wind",IL,9,42.05499,-87.6772
The Ohio State University,18-Jan,107499814,17,Wind,OH,10, 39.999387,-83.02271
University of North Texas,18-Jan,107250000,100,"Solar,Wind",TX,11,33.210663,-97.14733
Oklahoma State University,18-Jan,101559806,71,Wind,OK,12,36.121414,-97.06839
University of Missouri,18-Jan,97892973,37,"Biomass,Solar,Wind",MO,13,38.951561,-92.328636
University of Maryland,18-Jan,96927825,34,"Biogas,Small Hydro,Solar,Wind",MD,14,38.980297,-76.93312
Drexel University,18-Jan,96509000,100,"Solar, Wind",PA,15,39.95411,-75.186905
University of South Florida,18-Jan,78564500,40,Wind,PA,16,28.05457,-82.412094
University of New Hampshire,18-Jan,70739000,100,Wind,NH,17,43.13861,-70.937706
University of Wisconsin,18-Jan,70198709,15,"Biogas,Solar,Wind",WI,18,43.074787,-89.403564
Tarrant County College District,18-Jan,66255000,70,"Biogas,Biomass,Small Hydro, Solar, Wind",TX,19,32.747883,-97.32769
The City University of New York,18-Jan,64000000,13,Wind,NY,20,40.73,-73.997
University of Vermont,18-Jan,59533000,99,Wind,VT,21,44.469288,-73.20026
University of Minnesota,18-Jan,578000000,16,"Solar,Wind",MN,22,44.97587,-93.23449
Ohio University,18-Jan,57464988,50,"Solar,Wind",OH,23,39.32434355, -82.1014252739
American University,18-Jan,55282224,100,Solar,DC,24,38.93695,-77.08947
Temple University,18-Jan,55102500,25,Wind,PA,25,39.980225,-75.15758
Texas A&M University System,18-Jan,45900000,15,Wind,TX,26,30.615011,-96.342476
Syracuse University,18-Jan,41000000,35,Wind,NY,27,43.03762,-76.13297
Western Washington University,18-Jan,40000000,119,Wind,WA,28,48.73815,-122.48582
The Catholic University of America,18-Jan,39090882,100,Wind,DC,29,38.93698,-76.998055
University of Illinois at Urbana-Champaign,18-Jan,33198656,8,"Solar, Wind",IL,30,40.110558,-88.228333
